"ID","Description","Entry_ID","Position","Description_Language"
"RD-000001-S01","Buscar","RD-000001","1","spa"
"RD-000002-S01","Hoy","RD-000002","1","spa"
"RD-000003-S01","Sí","RD-000003","1","spa"
"RD-000004-S01","Todavía, aún","RD-000004","1","spa"
"RD-000005-S01","Ellos, ellas","RD-000005","1","spa"
"RD-000006-S01","Cara, nariz","RD-000006","1","spa"
"RD-000007-S01","Tener sal","RD-000007","1","spa"
"RD-000007-S02","Está dulce o sabroso","RD-000007","2","spa"
"RD-000008-S01","Huarache","RD-000008","1","spa"
"RD-000009-S01","Poner (huaraches)","RD-000009","1","spa"
"RD-000010-S01","Quitarse (huaraches)","RD-000010","1","spa"
"RD-000011-S01","Quitar (huaraches)","RD-000011","1","spa"
"RD-000012-S01","Embotarse, quitarse (el filo)","RD-000012","1","spa"
"RD-000013-S01","Salado","RD-000013","1","spa"
"RD-000013-S02","Dulce","RD-000013","2","spa"
"RD-000014-S01","Sano de pie o de brazo (se usa negativamente)","RD-000014","1","spa"
"RD-000015-S01","Hoyo de la nariz, ventana de la nariz","RD-000015","1","spa"
"RD-000016-S01","Abuela paterna","RD-000016","1","spa"
"RD-000016-S02","Nieta (de la abuela paterna)","RD-000016","2","spa"
"RD-000017-S01","Salar","RD-000017","1","spa"
"RD-000018-S01","Correa","RD-000018","1","spa"
"RD-000019-S01","Ponerse correas a los huaraches","RD-000019","1","spa"
"RD-000020-S01","Vivo","RD-000020","1","spa"
"RD-000021-S01","Boca abajo","RD-000021","1","spa"
"RD-000022-S01","Aliviado (de pie, brazo, etc.), sano así","RD-000022","1","spa"
"RD-000023-S01","Herrar","RD-000023","1","spa"
"RD-000024-S01","Rostro","RD-000024","1","spa"
"RD-000025-S01","¿Acaso…? (solo se usa en preguntas)","RD-000025","1","spa"
"RD-000026-S01","Poner (una sola cosa o persona), colocar","RD-000026","1","spa"
"RD-000027-S01","Una mata espinosa (semejante a la manzanilla; las chivas comen las ramitas)","RD-000027","1","spa"
"RD-000028-S01","Golpear ropa o cobija sobre una roca o con un palo para quitar el agua.","RD-000028","1","spa"
"RD-000029-S01","Atiesarse (de frío), morirse (de frío)","RD-000029","1","spa"
"RD-000030-S01","Reír, sonreír","RD-000030","1","spa"
"RD-000031-S01","Risueño","RD-000031","1","spa"
"RD-000032-S01","Es igual","RD-000032","1","spa"
"RD-000033-S01","De la misma manera, así también","RD-000033","1","spa"
"RD-000034-S01","Brotar, nacer o germinar (semillas)","RD-000034","1","spa"
"RD-000035-S01","Solos","RD-000035","1","spa"
"RD-000036-S01","Aparte","RD-000036","1","spa"
"RD-000037-S01","Desgranar maíz","RD-000037","1","spa"
"RD-000038-S01","Mosquito, zancudo","RD-000038","1","spa"
"RD-000039-S01","Mejorar, arreglar, preparar","RD-000039","1","spa"
"RD-000040-S01","Decalitro","RD-000040","1","spa"
"RD-000041-S01","Hígado","RD-000041","1","spa"
"RD-000042-S01","Tener hígado","RD-000042","1","spa"
"RD-000043-S01","Rezar","RD-000043","1","spa"
"RD-000044-S01","Perteneciente a la acción de rezar","RD-000044","1","spa"
"RD-000045-S01","Estar entero","RD-000045","1","spa"
"RD-000046-S01","Entero","RD-000046","1","spa"
"RD-000047-S01","Buscar","RD-000047","1","spa"
"RD-000048-S01","Amigo","RD-000048","1","spa"
"RD-000049-S01","Panal, miel de abeja","RD-000049","1","spa"
"RD-000050-S01","De otro modo","RD-000050","1","spa"
"RD-000051-S01","Ala","RD-000051","1","spa"
"RD-000051-S02","Aleta","RD-000051","2","spa"
"RD-000052-S01","Juntarse","RD-000052","1","spa"
"RD-000053-S01","Aguantar","RD-000053","1","spa"
"RD-000054-S01","Aletear","RD-000054","1","spa"
"RD-000055-S01","Mutuamente, unos a otros","RD-000055","1","spa"
"RD-000056-S01","Aletear","RD-000056","1","spa"
"RD-000057-S01","Medir, pesar","RD-000057","1","spa"
"RD-000058-S01","Al mismo tiempo","RD-000058","1","spa"
"RD-000058-S02","igual","RD-000058","2","spa"
"RD-000059-S01","Perseguir","RD-000059","1","spa"
"RD-000060-S01","Uno encima del otro","RD-000060","1","spa"
"RD-000061-S01","Poner (uno encima del otro)","RD-000061","1","spa"
"RD-000062-S01","Igualar","RD-000062","1","spa"
"RD-000063-S01","Los que vivieron hace mucho, los espíritus de los antepasados","RD-000063","1","spa"
"RD-000064-S01","Decir","RD-000064","1","spa"
"RD-000065-S01","Sonar fuerte","RD-000065","1","spa"
"RD-000066-S01","Le fue dicho","RD-000066","1","spa"
"RD-000067-S01","Fue dicho fue avisado (pasivo)","RD-000067","1","spa"
