headword_raw	headword_normalized	count
1ca	ca	2
Acajihua	acajihua	2
Ané	ane	2
Aparocha	aparocha	2
Asiba	asiba	2
Basú	basu	2
Bichíhuari	bichihuari	2
Binera	binera	2
Bisú	bisu	2
Buchuhuí	buchuhui	2
Chipó	chipo	2
Ri’nahuí	ri'nahui	2
¿Chigá?	¿chiga?	1
¿Churicó?	¿churico?	1
¿Churigá?	¿churiga?	1
¿Chuséa?	¿chusea?	1
¿Chuyiri?	¿chuyiri?	1
'Aché	'ache	1
‘Huécami	'huecami	1
‘Huénahua	'huenahua	1
‘Huí	'hui	1
‘Huigáami	'huigaami	1
‘Huíhuachi	'huihuachi	1
‘Huisa	'huisa	1
‘Loche	'loche	1
‘Lohua, ‘loché	'lohua, 'loche	1
‘Lóhuari	'lohuari	1
‘Ma, ‘má	'ma, 'ma	1
‘Machó	'macho	1
‘Mahuá	'mahua	1
‘marachi	'marachi	1
‘Masa	'masa	1
‘Másari	'masari	1
‘Masi	'masi	1
‘Méchuri	'mechuri	1
‘Mo	'mo	1
‘Nabé	'nabe	1
‘Naca	'naca	1
‘Nagá	'naga	1
‘Nata	'nata	1
‘Nátami	'natami	1
‘Nate	'nate	1
‘Nayáhuari	'nayahuari	1
‘Ne	'ne	1
‘Né	'ne	1
‘Nécohuachi	'necohuachi	1
‘Nena	'nena	1
‘Neni	'neni	1
‘Nera	'nera	1
‘Nigá	'niga	1
‘Niná	'nina	1
‘Nora	'nora	1
‘Ochérami	'ocherami	1
‘Onami	'onami	1
‘Yé	'ye	1
‘Yeba	'yeba	1
‘Yeca	'yeca	1
‘Yemi	'yemi	1
‘Yemi níhuara	'yemi nihuara	1
‘Yena	'yena	1
‘Yera	'yera	1
‘Yeta	'yeta	1
´Huara	´huara	1
´Ya	´ya	1
1’Me	'me	1
1Acá	aca	1
1Acará	acara	1
1Ajó	ajo	1
1Aná	ana	1
1Aqué	aque	1
1Bacha	bacha	1
1Bachi	bachi	1
1Basigó	basigo	1
1Basoná	basona	1
1Batú	batu	1
1Bité	bite	1
1buhué	buhue	1
1buyana	buyana	1
1cachí	cachi	1
1cahuí	cahui	1
1Caré	care	1
1Carú	caru	1
1Casí	casi	1
1Chá	cha	1
1Chabochi	chabochi	1
1Chi’rá	chi'ra	1
1Chi’ré	chi're	1
1Chihuí	chihui	1
1Choba	choba	1
1Choquira	choquira	1
1Churé	chure	1
1co	co	1
1Co’ná	co'na	1
1Cochí	cochi	1
1Cohuara [variante de corá]	cohuara [variante de cora]	1
1Cohuí	cohui	1
1Coná	cona	1
1Corá	cora	1
1Corí	cori	1
1Cu	cu	1
1Cuchuri	cuchuri	1
1Cuhuana	cuhuana	1
1Curú	curu	1
1Cusera	cusera	1
1Cusí	cusi	1
1Hua	hua	1
1Huaca	huaca	1
1Huacá	huaca	1
1Huanihuí	huanihui	1
1Huasí	huasi	1
1Huicá	huica	1
1Huichí	huichi	1
1Huijá	huija	1
1Huisú	huisu	1
1Iché	iche	1
1Ihu´é	ihu´e	1
1Iná	ina	1
1Iquí	iqui	1
1Jo	jo	1
1Jubá	juba	1
1Jubé	jube	1
1La	la	1
1Machí	machi	1
1Machiná	machina	1
1Marí	mari	1
1Mayé	maye	1
1Me	me	1
1Michira	michira	1
1Moró	moro	1
1Na’í, naíbi	na'i, naibi	1
1Nacú	nacu	1
1Nahuá	nahua	1
1Napihua	napihua	1
1Napó	napo	1
1Nasó	naso	1
1No	no	1
1Nóchari	nochari	1
1Noré	nore	1
1Noreba	noreba	1
1Norí	nori	1
1O’huiqué	o'huique	1
1O’rí	o'ri	1
1O’yó	o'yo	1
1O´rina	o´rina	1
1Ocó	oco	1
1Ocuá	ocua	1
1Omée	omee	1
1Onó	ono	1
1Orá	ora	1
1Orí	ori	1
1Osá	osa	1
1Pa	pa	1
1Pe	pe	1
1Quirá	quira	1
1Quirí	quiri	1
1Racó	raco	1
1Rahué	rahue	1
1Rapirá	rapira	1
1Rará	rara	1
1Ratá	rata	1
1Ri’ná	ri'na	1
1Ricá	rica	1
1Rihuá	rihua	1
1Rihuí	rihui	1
1Rihuira	rihuira	1
1Ripá	ripa	1
1Ripú	ripu	1
1Rité	rite	1
1Ritú	ritu	1
1Ro’huá	ro'hua	1
1Rohué	rohue	1
1Rojuá	rojua	1
1Roné	rone	1
1Ronó	rono	1
1Ru	ru	1
1Sáata	saata	1
1Si	si	1
1Sicá	sica	1
1Sihuá	sihua	1
1Simí	simi	1
1Siri	siri	1
1Sitá	sita	1
1Sotóchi	sotochi	1
1Suhuaba	suhuaba	1
1Suhué	suhue	1
1Ta	ta	1
1Tabachi	tabachi	1
1Tarí	tari	1
1To	to	1
1Tu	tu	1
1Uchú	uchu	1
1Uchucha	uchucha	1
1Umuri	umuri	1
1Usá	usa	1
1Yiri	yiri	1
1Yora	yora	1
2’Me	'me	1
2Acá	aca	1
2Acará	acara	1
2Ajó	ajo	1
2Aná	ana	1
2Aqué	aque	1
2Bachá	bacha	1
2Bachi	bachi	1
2Basigó	basigo	1
2Basoná	basona	1
2Batú	batu	1
2Bité	bite	1
2buhué	buhue	1
2buyana	buyana	1
2ca	ca	1
2cachí	cachi	1
2cahuí	cahui	1
2Caré	care	1
2Carú	caru	1
2Casí	casi	1
2Chá, cháa	cha, chaa	1
2Chabochi	chabochi	1
2Chi’rá	chi'ra	1
2Chi’ré	chi're	1
2Chihuí	chihui	1
2Choba	choba	1
2Choquira	choquira	1
2Churé	chure	1
2co	co	1
2Co’ná	co'na	1
2Cochí	cochi	1
2Cohuara	cohuara	1
2Cohuí	cohui	1
2Coná	cona	1
2Corá, cohuara	cora, cohuara	1
2Corí	cori	1
2Cu	cu	1
2Cuchiri	cuchiri	1
2Cuhuana	cuhuana	1
2Curú	curu	1
2Cusera	cusera	1
2Cusí	cusi	1
2Hua	hua	1
2Huaca	huaca	1
2Huacá	huaca	1
2Huanihuí	huanihui	1
2Huasí	huasi	1
2Huicá	huica	1
2Huichí	huichi	1
2Huijá	huija	1
2Huisú	huisu	1
2Iché	iche	1
2Ihu´e	ihu´e	1
2Iná	ina	1
2Iquí	iqui	1
2Jo	jo	1
2Jubá	juba	1
2Jubé	jube	1
2La	la	1
2Machí, machíami	machi, machiami	1
2Machiná	machina	1
2Marí	mari	1
2Mayé	maye	1
2Me	me	1
2Michira	michira	1
2Moró	moro	1
2Na’í	na'i	1
2Nacú	nacu	1
2Nahuá	nahua	1
2Napihua	napihua	1
