"record_id","headword","headword_raw","headword_normalized","homonym_number","classification","classification_family","translation_raw","sense_count","senses_json","example_count","examples_json","variant_count","variants_json","comments_raw","source_code","source_document","page_start","page_end","transcription_status","publication_status","validation_status"
"RD-000001","A","A","a","","Vt","Vt","Buscar","1","[""Buscar""]","1","[""Nijeni ama cahué. Voy a buscar el caballo. ¡Ábasi! ¡Vayan a buscarlo! [pret.: ari; fut.: ama] Ábia simíbari, fueron a buscarlo. Abo, lo buscaremos, uds. lo buscarán. Ásagá, si lo busca. Ásiga, buscándolo. Ay, lo buscaba.""]","1","[""pret.: ari; fut.: ama""]","Nijeni ama cahué. Voy a buscar el caballo. ¡Ábasi! ¡Vayan a buscarlo! [pret.: ari; fut.: ama] Ábia simíbari, fueron a buscarlo. Abo, lo buscaremos, uds. lo buscarán. Ásagá, si lo busca. Ásiga, buscándolo. Ay, lo buscaba.","SRC-02","DICCIONARIO raramuri.pdf","3","3","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000002","Abé","Abé","abe","","Adv","Adv","Hoy","1","[""Hoy""]","1","[""1. Abé huarú ucuri. Hoy llovió mucho. 2.Hace rato. Véase jipi, curipi.""]","0","[]","1. Abé huarú ucuri. Hoy llovió mucho. 2.Hace rato. Véase jipi, curipi.","SRC-02","DICCIONARIO raramuri.pdf","3","3","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000003","Abi, abiyena","Abi, abiyena","abi, abiyena","","Adv","Adv","Sí","1","[""Sí""]","1","[""¿Acha mi 'yárati? Ayena, abi. ¿Se lo dieron? Sí.""]","1","[""abiyena""]","¿Acha mi 'yárati? Ayena, abi. ¿Se lo dieron? Sí.","SRC-02","DICCIONARIO raramuri.pdf","3","3","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000004","Abijí","Abijí","abiji","","Adv","Adv","Todavía, aún","1","[""Todavía, aún""]","1","[""¡Abijí buhué!, ¡Espera todavía! Abijí que cho ucú, todavía no llueve. I'yábijí temprano todavía. Abijí tibíami, sobrante. Abijí ucú, todavía llueve.""]","0","[]","¡Abijí buhué!, ¡Espera todavía! Abijí que cho ucú, todavía no llueve. I'yábijí temprano todavía. Abijí tibíami, sobrante. Abijí ucú, todavía llueve.","SRC-02","DICCIONARIO raramuri.pdf","3","3","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000005","Aboni","Aboni","aboni","","Pron","Pron","Ellos, ellas","1","[""Ellos, ellas""]","1","[""Aboni pirérachi, habitación de ellos.""]","0","[]","Aboni pirérachi, habitación de ellos.","SRC-02","DICCIONARIO raramuri.pdf","3","3","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000006","Acá","1Acá","aca","1","S","S","Cara, nariz","1","[""Cara, nariz""]","1","[""Binoy acara, su cara. Binoy acárachi, en su cara. Véase cho'ó.""]","0","[]","Binoy acara, su cara. Binoy acárachi, en su cara. Véase cho'ó.","SRC-02","DICCIONARIO raramuri.pdf","3","3","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000007","Acá","2Acá","aca","2","Vi","Vi","1. Tener sal 2. Está dulce o sabroso","2","[""Tener sal"",""Está dulce o sabroso""]","1","[""¿Acha gará acá muní?, ¿Tienen suficiente sal los frijoles? Hue gará acá je'ná muní, están muy bien de sal estos frijoles.""]","0","[]","¿Acha gará acá muní?, ¿Tienen suficiente sal los frijoles? Hue gará acá je'ná muní, están muy bien de sal estos frijoles.","SRC-02","DICCIONARIO raramuri.pdf","3","3","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000008","Acá","3Acá","aca","3","S","S","Huarache","1","[""Huarache""]","1","[""Nijeni quetasi te acá, no tengo huaraches.""]","0","[]","Nijeni quetasi te acá, no tengo huaraches.","SRC-02","DICCIONARIO raramuri.pdf","3","3","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000009","Acará","Acará","acara","","Vi","Vi","Poner (huaraches)","1","[""Poner (huaraches)""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","3","3","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000010","Acarapu","Acarapu","acarapu","","Vi","Vi","Quitarse (huaraches)","1","[""Quitarse (huaraches)""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","3","3","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
